Age,Dependents,Education,City/Town,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Loan_Amount_Requested,Loan_Term,Interest_Rate,Co-Applicant,Bank_Account_History,Transaction_Frequency,Default_Risk,Gender_Male,Marital_Status_Married,Marital_Status_Single,Employment_Status_Self-Employed,Employment_Status_Unemployed,Occupation_Type_Freelancer,Occupation_Type_Professional,Occupation_Type_Salaried,Residential_Status_Own,Residential_Status_Rent,Loan_Purpose_Home,Loan_Purpose_Personal,Loan_Purpose_Vehicle,Loan_Type_Unsecured
2.463251292053925,3,0,2,-0.5595176418914747,0.8006140962901104,-1.247335227516086,2,0.4971575318932162,-1.0368438414488625,0,-0.7991701379723416,-1.0097492036478934,0.5522081441765779,0,4,19,-1.2300550834931954,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0.948984131433503,1,2,2,-0.2915655931227993,-0.8768933780237567,0.7600787261650475,2,0.796997182423161,0.8307041549185492,0,-0.10099189619765678,0.5692738816833237,-1.0847118637576476,0,7,11,1.52028468786586,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1.1382675265110558,2,0,2,-1.2112163054255085,0.9208238320823662,-1.3861759573425312,2,-0.04366564309509442,-0.1489723045428847,1,-1.0723434846921749,0.4781763959911381,-0.6451685282938278,1,7,23,0.9014582393100726,1,1,0,1,0,1,0,0,0,1,1,0,0,0
1.5168343166661613,1,1,1,-1.2981955045022513,-0.46585363628249477,-1.4152038442831343,0,-1.0048897185946835,1.069235080903317,1,-1.1754161211635084,0.9184809101700352,-0.07224652551684893,1,2,25,-0.2674361635175261,0,1,0,0,1,1,0,0,1,0,1,0,0,0
-0.28135793657059005,1,0,2,0.7496876510504271,0.18017675026556407,-0.005954887671341238,1,0.17028714577667847,1.0369761723479365,0,0.8114786772108422,-0.5542617751869654,1.50404681545685,1,0,9,0.21387329647030853,1,1,0,0,0,0,1,0,1,0,1,0,0,1
-0.09207454149303726,0,0,1,1.653625991907015,-0.2735180590148854,0.6468337687023186,1,-0.19111865315871965,-0.5068265051841143,0,1.4347286670836115,1.4802487386051797,-0.2541265263984294,0,9,17,-0.9894003534992782,1,1,0,0,0,1,0,0,1,0,0,0,0,1
-0.18671623903181364,1,1,2,-0.38850531338413685,-0.4154431019180004,0.9840509270926371,0,1.048473357456271,1.31250656334246,0,-0.022360435799765304,1.1310417101184682,0.6310228112252628,0,0,23,-0.33619465780150254,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0.5704173412783975,2,1,2,1.2111543888617782,-1.2662178126541594,-0.32869560251585206,0,0.7993597659962822,-1.0316407916818657,0,1.1269920410680017,-0.888285889391646,-0.5966671947254062,0,2,14,1.2452507107299546,1,1,0,1,0,0,0,0,0,1,0,0,0,1
0.948984131433503,3,2,2,-0.6415025514728432,1.4652576032189055,1.1123446830315702,2,0.41189606000439993,-1.6794782993370545,1,-0.14234439106938934,0.053054796094271925,1.0887541467772406,0,0,20,1.4859054407238717,0,0,1,1,0,0,1,0,0,1,1,0,0,1
0.5704173412783975,0,1,0,1.2524554795201541,0.10727536210767988,1.5745769400956462,2,0.7573196759451544,-0.8815617117360448,1,1.0436698499085406,-1.2982245750064811,0.8371534788910541,0,6,27,0.3513902850382614,1,1,0,1,0,0,0,1,1,0,1,0,0,1
